total_students,birth_country,race,dre
77867,BRASIL,PARDA,CL
60681,BRASIL,BRANCA,CL
46107,BRASIL,PARDA,CS
45729,BRASIL,BRANCA,PJ
42777,BRASIL,PARDA,MP
42405,BRASIL,BRANCA,SM
39634,BRASIL,BRANCA,IP
38815,BRASIL,BRANCA,MP
36264,BRASIL,BRANCA,CS
35927,BRASIL,PARDA,PJ
34556,BRASIL,PARDA,G
34539,BRASIL,BRANCA,FO
34454,BRASIL,BRANCA,JT
34258,BRASIL,PARDA,SM
33596,BRASIL,BRANCA,PE
31400,BRASIL,BRANCA,IQ
31282,BRASIL,PARDA,FO
29456,BRASIL,PARDA,SA
28416,BRASIL,BRANCA,G
27558,BRASIL,BRANCA,SA
26880,BRASIL,PARDA,JT
25594,BRASIL,PARDA,IP
24851,BRASIL,PARDA,PE
23425,BRASIL,PARDA,IQ
21526,BRASIL,RECUSOU INFORMA,CL
21290,BRASIL,BRANCA,BT
19703,BRASIL,PARDA,BT
19694,BRASIL,RECUSOU INFORMA,SM
17134,BRASIL,RECUSOU INFORMA,MP
15357,BRASIL,RECUSOU INFORMA,PJ
14698,BRASIL,RECUSOU INFORMA,G
14457,BRASIL,RECUSOU INFORMA,SA
13864,BRASIL,RECUSOU INFORMA,IP
13812,BRASIL,RECUSOU INFORMA,PE
13606,BRASIL,RECUSOU INFORMA,FO
13461,BRASIL,RECUSOU INFORMA,IQ
12044,BRASIL,RECUSOU INFORMA,CS
11776,BRASIL,RECUSOU INFORMA,JT
9255,BRASIL,PRETA,CL
8231,BRASIL,RECUSOU INFORMA,BT
5264,BRASIL,PRETA,FO
5161,BRASIL,PRETA,PJ
5090,BRASIL,PRETA,CS
5021,BRASIL,PRETA,G
4416,BRASIL,PRETA,MP
4378,BRASIL,PRETA,SM
4307,BRASIL,PRETA,IP
4258,BRASIL,NÃO DECLARADA,CL
4162,BRASIL,PRETA,PE
4103,BRASIL,PRETA,SA
3610,BRASIL,PRETA,IQ
3445,BRASIL,PRETA,JT
3064,BRASIL,NÃO DECLARADA,MP
2865,BRASIL,PRETA,BT
2188,BRASIL,NÃO DECLARADA,CS
2131,BRASIL,NÃO DECLARADA,SM
1969,BRASIL,NÃO DECLARADA,G
1886,BRASIL,NÃO DECLARADA,IP
1778,BRASIL,NÃO DECLARADA,PJ
1749,BRASIL,NÃO DECLARADA,SA
1561,BRASIL,NÃO DECLARADA,IQ
1358,BRASIL,NÃO DECLARADA,PE
1107,BRASIL,NÃO DECLARADA,FO
1079,BOLÍVIA,PARDA,JT
1075,BRASIL,N�O DECLARADA,G
1073,BRASIL,N�O DECLARADA,PJ
1051,BRASIL,N�O DECLARADA,CL
911,BRASIL,N�O DECLARADA,MP
786,BRASIL,N�O DECLARADA,SA
774,BRASIL,NÃO DECLARADA,BT
771,BRASIL,N�O DECLARADA,PE
735,HAITI,PRETA,PJ
733,BRASIL,AMARELA,PE
683,BRASIL,NÃO DECLARADA,JT
645,BRASIL,AMARELA,CL
534,BRASIL,AMARELA,IP
504,BRASIL,AMARELA,G
493,BRASIL,AMARELA,SM
493,BRASIL,AMARELA,PJ
485,BRASIL,N�O DECLARADA,IP
475,BRASIL,INDIGENA,PE
471,BRASIL,AMARELA,MP
464,BOLÍVIA,RECUSOU INFORMA,JT
437,BRASIL,AMARELA,FO
423,BRASIL,AMARELA,JT
407,BRASIL,N�O DECLARADA,SM
387,BOL�VIA,PARDA,JT
374,BRASIL,N�O DECLARADA,FO
361,BRASIL,N�O DECLARADA,IQ
359,BRASIL,INDIGENA,JT
358,BRASIL,AMARELA,CS
354,BRASIL,AMARELA,IQ
353,BRASIL,INDIGENA,CS
349,BRASIL,N�O DECLARADA,BT
342,BRASIL,AMARELA,BT
329,BRASIL,AMARELA,SA
305,BOLÍVIA,PARDA,FO
302,BOL�VIA,PARDA,PE
282,BRASIL,N�O DECLARADA,JT
267,BOLÍVIA,PARDA,PE
261,ANGOLA,PRETA,IP
248,BRASIL,INDIGENA,PJ
240,HAITI,PRETA,SM
239,BRASIL,N�O DECLARADA,CS
223,BRASIL,INDIGENA,FO
193,BRASIL,INDIGENA,IP
188,BRASIL,INDIGENA,CL
181,BOLÍVIA,PARDA,IP
163,VENEZUELA,PARDA,IP
162,BOLÍVIA,BRANCA,JT
159,HAITI,PRETA,PE
152,BRASIL,INDIGENA,MP
150,ANGOLA,PRETA,PE
149,BOLÍVIA,RECUSOU INFORMA,FO
144,ANGOLA,PRETA,JT
133,VENEZUELA,PARDA,CS
128,VENEZUELA,RECUSOU INFORMA,CL
124,VENEZUELA,BRANCA,IP
119,BOL�VIA,INDIGENA,JT
119,BOL�VIA,RECUSOU INFORMA,PE
118,HAITI,PRETA,IP
118,BRASIL,INDIGENA,G
116,BOLÍVIA,PARDA,MP
114,VENEZUELA,PARDA,SM
113,BOL�VIA,RECUSOU INFORMA,JT
102,BRASIL,INDIGENA,IQ
100,BOL�VIA,PARDA,FO
100,BOLÍVIA,INDIGENA,JT
92,BRASIL,INDIGENA,BT
88,BOLÍVIA,RECUSOU INFORMA,PE
87,BOLÍVIA,PARDA,G
85,VENEZUELA,RECUSOU INFORMA,IP
83,BRASIL,INDIGENA,SA
83,PARAGUAI,BRANCA,IP
82,VENEZUELA,BRANCA,SM
80,VENEZUELA,PARDA,CL
78,BRASIL,INDIGENA,SM
78,BOLÍVIA,PARDA,PJ
78,BOL�VIA,BRANCA,JT
72,VENEZUELA,RECUSOU INFORMA,SM
69,BOLÍVIA,BRANCA,IP
69,BOLÍVIA,BRANCA,FO
69,PARAGUAI,BRANCA,JT
69,HAITI,PRETA,CL
67,BOL�VIA,INDIGENA,PE
66,BOLÍVIA,PARDA,SM
63,BOL�VIA,BRANCA,PE
62,VENEZUELA,PARDA,PJ
60,BOLÍVIA,RECUSOU INFORMA,MP
59,BOLÍVIA,AMARELA,FO
58,BOLÍVIA,INDIGENA,FO
56,ANGOLA,PRETA,SM
