total_students,dre,nee
1986,CL,AUTISMO
1281,CL,INTELECTUAL
1083,PJ,AUTISMO
977,SM,AUTISMO
938,JT,AUTISMO
935,CS,AUTISMO
922,FO,AUTISMO
779,IP,AUTISMO
722,SM,INTELECTUAL
631,SA,AUTISMO
619,JT,INTELECTUAL
616,FO,INTELECTUAL
601,IP,INTELECTUAL
587,G,AUTISMO
575,MP,AUTISMO
556,CS,INTELECTUAL
513,PJ,INTELECTUAL
492,BT,AUTISMO
488,PE,INTELECTUAL
436,IQ,INTELECTUAL
424,IQ,AUTISMO
381,CL,FIS_N_CADEIR
373,PE,AUTISMO
354,G,INTELECTUAL
295,SA,INTELECTUAL
256,BT,INTELECTUAL
215,IP,SURDEZ_SEVERA
186,SM,FIS_N_CADEIR
180,CS,FIS_N_CADEIR
154,CL,FIS_CADEIR
151,MP,INTELECTUAL
145,JT,FIS_N_CADEIR
139,PJ,FIS_N_CADEIR
118,G,FIS_N_CADEIR
104,FO,FIS_N_CADEIR
96,IP,FIS_N_CADEIR
87,SA,FIS_N_CADEIR
83,JT,FIS_CADEIR
79,PE,FIS_N_CADEIR
78,IP,FIS_CADEIR
76,BT,FIS_N_CADEIR
75,IQ,FIS_N_CADEIR
71,SA,SURDEZ_SEVERA
70,CL,SURDEZ_LEVE
70,FO,FIS_CADEIR
62,CL,BAIXA_VISAO
62,G,FIS_CADEIR
61,CS,FIS_CADEIR
56,CL,SURDEZ_SEVERA
56,SM,FIS_CADEIR
46,MP,FIS_N_CADEIR
46,PJ,FIS_CADEIR
44,PJ,BAIXA_VISAO
43,MP,SURDEZ_SEVERA
42,CS,BAIXA_VISAO
39,FO,SURDEZ_LEVE
38,IP,SURDEZ_LEVE
36,IQ,BAIXA_VISAO
36,SM,BAIXA_VISAO
34,PE,FIS_CADEIR
32,CS,SURDEZ_LEVE
30,FO,BAIXA_VISAO
30,IQ,FIS_CADEIR
29,IP,MULTIPLA
28,BT,FIS_CADEIR
28,PJ,SURDEZ_LEVE
28,SA,BAIXA_VISAO
27,IP,BAIXA_VISAO
26,BT,SURDEZ_LEVE
26,BT,BAIXA_VISAO
25,G,BAIXA_VISAO
24,SA,SURDEZ_LEVE
24,SM,SURDEZ_LEVE
23,IQ,SURDEZ_LEVE
23,MP,FIS_CADEIR
22,JT,BAIXA_VISAO
21,PE,SURDEZ_LEVE
19,CL,TRANST_DES_INF
19,CS,ALT_HAB
19,SM,SURDEZ_SEVERA
17,CL,MULTIPLA
17,PE,BAIXA_VISAO
16,CS,SURDEZ_SEVERA
16,PE,SURDEZ_SEVERA
16,PJ,SINDROME_ASPERGER
16,SA,FIS_CADEIR
15,CL,ALT_HAB
15,JT,SURDEZ_SEVERA
14,G,SURDEZ_SEVERA
14,MP,BAIXA_VISAO
12,BT,SURDEZ_SEVERA
12,FO,SURDEZ_SEVERA
12,G,SURDEZ_LEVE
12,IQ,SURDEZ_SEVERA
12,PJ,SURDEZ_SEVERA
12,SM,CEGUEIRA
11,CL,SINDROME_ASPERGER
11,CS,TRANST_DES_INF
11,FO,SINDROME_RETT
11,PJ,TRANST_DES_INF
11,SM,MULTIPLA
10,BT,SINDROME_ASPERGER
10,CS,SINDROME_ASPERGER
10,IP,SURDO_CEGO
10,MP,SURDEZ_LEVE
10,SA,SINDROME_ASPERGER
9,CL,CEGUEIRA
9,CS,CEGUEIRA
9,IQ,MULTIPLA
9,JT,TRANST_DES_INF
9,JT,MULTIPLA
9,PE,MULTIPLA
7,CS,MULTIPLA
7,IQ,TRANST_DES_INF
7,JT,SURDEZ_LEVE
6,FO,CEGUEIRA
6,IP,SINDROME_RETT
6,PJ,ALT_HAB
6,SA,ALT_HAB
5,FO,MULTIPLA
5,FO,TRANST_DES_INF
5,FO,SINDROME_ASPERGER
5,FO,ALT_HAB
5,IP,SINDROME_ASPERGER
5,IQ,CEGUEIRA
5,IQ,SINDROME_ASPERGER
5,MP,TRANST_DES_INF
5,SA,TRANST_DES_INF
5,SA,MULTIPLA
5,SM,ALT_HAB
4,BT,SINDROME_RETT
4,IQ,ALT_HAB
4,JT,ALT_HAB
4,PE,SINDROME_ASPERGER
4,SA,CEGUEIRA
4,SM,TRANST_DES_INF
3,BT,MULTIPLA
3,BT,TRANST_DES_INF
3,BT,CEGUEIRA
3,CL,SINDROME_RETT
3,G,CEGUEIRA
3,PJ,CEGUEIRA
3,PJ,SINDROME_RETT
2,G,MULTIPLA
2,G,TRANST_DES_INF
2,IP,ALT_HAB
2,IP,TRANST_DES_INF
2,MP,SINDROME_ASPERGER
2,PE,CEGUEIRA
2,PE,TRANST_DES_INF
2,PJ,MULTIPLA
2,SA,SINDROME_RETT
2,SM,SINDROME_ASPERGER
1,BT,ALT_HAB
1,CL,SURDO_CEGO
1,IP,CEGUEIRA
1,IQ,SINDROME_RETT
1,JT,SINDROME_ASPERGER
1,JT,CEGUEIRA
1,JT,SINDROME_RETT
1,MP,MULTIPLA
1,MP,ALT_HAB
1,PE,ALT_HAB
