open_spaces,dre,school
100,CS,ARTE & EDUCACAO - ANCHIETA
72,SM,SAB - SAPOPEMBA
59,SM,PADRE MOREIRA
50,PE,CEC CRISTO REI
48,PE,TIQUATIRA
48,PJ,VILA ATLANTICA - JOAO SOARES FILHO. PROF
47,SM,JARDIM SINHA
38,CL,GUARAPIRANGA - FLORINDA LOTAIF SCHAHIN
38,CL,CAPAO REDONDO - CELSO SEIXAS RIBEIRO BASTOS. PROF. E DR.
35,BT,RECANTO SANTA MONICA
35,CL,MONTE AZUL
35,SM,CARLOS MARIGHELA
34,MP,NAZARETH VIDA NOVA
33,G,AYANDA - ADAO MANOEL DA SILVA
31,SA,CAMINHO DO MAR - DULCE SALLES CUNHA BRAGA. PROFA
31,SM,FELIPE DOLIVEIRA
30,G,JAMBEIRO - JOSE GUILHERME GIANETTI
30,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS V
30,SA,PARQUE SANTA AMELIA E ADJACENCIAS
30,SA,GROSSARL CAMPO GRANDE
30,SM,REINO ENCANTADO
29,BT,NOSSA SRA. DA PROVIDENCIA
29,IP,CENTRO EDUCACIONAL DOM ORIONE
28,PJ,PROF. JOSE HERCULANO PIRES I
27,JT,JOAO PAULO I
26,BT,PROF
26,CS,AMAI I - VILA ARCO IRIS
26,IQ,SANTO ANTONIO II
25,MP,CENTRO DE EDUCACAO DA ZONA LESTE XII
25,MP,TRES PONTES - NILZETE LETICIA BISPO DOS SANTOS LIMA. PROFA.
24,IP,GEORGINA DO CARMO MOREIRA
23,CS,CIDADE DUTRA - ADIB SALOMAO. DR.
22,BT,SAO PAULO DA CRUZ
22,CS,IVM
22,G,AGUA AZUL - PAULO RENATO COSTA SOUZA. PROF
22,PJ,BATISTA
22,SA,CENTRO COMUN JD AUTODROMO UNID III SA
20,G,CONSELHO COMUNITARIO DA VILA SOLANGE UNID V G
20,SA,ASSOCIACAO CONQUISTANDO UM ESPACO I
20,SA,ASSOCIACAO CONQUISTANDO UM ESPACO III
20,SA,CENTRO COMUNITARIO JARDIM AUTODROMO
20,SA,ASSOCIACAO CONQUISTANDO UM ESPACO IV
20,SA,ASSOCIACAO CONQUISTANDO UM ESPACO II
20,SM,SEMEANDO ESPERSANCA
19,JT,SOLID ROCK VILA MEDEIROS
19,SA,ASSOCIACAO CONQUISTANDO UM ESPACO V
19,SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UN GAROUPAS
19,SA,OBRAS SOCIAIS SAO FRANCISCO XAVIER - MOVA
18,BT,ILEUSA CAETANO DA SILVA. PROFA.
18,CL,PRACINHAS DA FEB
18,CS,FREI REGINALDO
18,G,CASA DOS MENINOS II
18,SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO
18,SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UNID I SA
18,SA,CPDDH FREI TITO DE ALENCAR LIMA UNID IV SA
18,SA,ANHANGUERA
17,CL,HERBERT DE SOUZA - BETINHO
17,PJ,SEMEANDO VIDAS V
17,SA,CENTRO COMUN JD AUTODROMO UNID I SA
17,SA,CIPS - CENTRO INTEGRADO DE PROMOCAO SOCIAL
16,CS,NAVEGANTES - JOSE EVERARDO RODRIGUES COSME. PROF.
16,SA,CENTRO SOCIL ESPERANCA
16,SA,CPDDH FREI TITO DE ALENCAR LIMA UNID V SA
15,IP,RECANTO GAETANO E CARMELA
15,JT,CEAS SANTA TERESINHA
15,PJ,BETSAIDA
15,SA,GROSSARL
15,SM,RUBENS PAIVA
14,BT,ASA PRIMAVERA
14,CL,CASA JOSE COLTRO
14,PJ,ACM LAPA
14,PJ,APROCIMA
14,SA,SOCIEDADE DE AMPARO FRATERNO CASA DO CAMINHO UNID I SA
14,SA,CENTRO COMUNITARIO JD AUTODROMO
14,SM,ALTO ALEGRE - PAULO SUYOSH MINAMI. PROF.
13,CS,CONOSCO BALNEARIO SAO JOSE
13,CS,JACEGUAVA
13,CS,VILA RUBI - ALEXANDRE KADUNC. JORNALISTA
13,CS,VIVENDA DA CRIANCA
13,IP,OBR SOC NS SRA AQUIROPITA - CENT SOC DOM ORIONE
13,JT,MUTIRAO JARDIM FONTALIS
13,PE,BOM JESUS DO CANGAIBA
13,PJ,GABRIEL SYLVESTRE TEIXEIRA DE CARVALHO. PROF.
13,PJ,JAGUARE - HENRIQUE GAMBA. PROF
13,SM,CEC EMILIA MENDES DE ALMEIDA
13,SM,CEC SAO FRANCISCO E SANTO ANDRE
12,CS,AMA II
12,CS,PROJETO SOL
12,IP,JEAN MERMOZ
12,SM,CEC SAMMUTTI
11,BT,ANTONIO BRANCO LEFEVRE. PROF.
11,BT,MARIA ANTONIETA D'ALKIMIN BASTO. PROFA.
11,CL,CIDADE IPAVA
11,CL,SOCIEDADE SANTOS MARTIRES UNID XXI CL
11,G,VILA SAO GERALDO
11,G,VILA YOLANDA
11,MP,XICO ESVAEL
11,MP,ASS BENEFICENTE DAS MULHERES VOLUNTARIOSAS
11,SM,CEC SAO PEDRO
10,BT,ASSOCIACAO METODISTA LIVRE AGENTE - UNID I
10,BT,LIGA SOLIDARIA
10,CL,JARDIM ANA MARIA
10,CL,SOCIEDADE SANTO MARTIRES UNID II MB
10,CL,SOCIEDADE SANTO MARTIRES UNID I MB
10,CL,SOCIEDADE SANTO MARTIRES UNID VIII MB
10,CS,SOC DOS MORADORES DO JD IMBUIAS E ADJACENCIAS
10,CS,SERRA DO MAR
10,CS,SOC MORAD JD IMBUIAS UNID II
10,CS,SOC MORAD JD IMBUIAS UNID I CS
10,CS,ESPACO FORM ASSES E DOCUMENTACAO UNID VII CS
10,FO,DULCE HAUCK
10,IP,MENINOS - ARTUR ALBERTO DE MOTA GONCALVES. PROF.. DR.
10,IQ,ARICANDUVA - IRENE GALVAO DE SOUZA. PROFA.
10,JT,SOLID ROCK
10,MP,ASS VOLUNTARIOS DO BRASIL UNID I MP
10,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS - SADIP
10,PJ,ASSOCIACAO ALEGRIA DE VIVER UNID I PJ
10,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XI
10,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XIV
10,PJ,SOCIEDADE AMIGOS DE PERUS - UNID. IV
10,PJ,SOCIEDADE AMIGOS DE PERUS
10,PJ,SOCIEDADE AMGOS DO DISTRITO DE PERUS SADIP XVI
10,PJ,LIBERATO BITTENCOURT. GEN.
10,PJ,HENRIQUE RAYMUNDO DYOTT FONTENELLE. BRIG.
10,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS SADIP XVII
10,SA,FRANCISCO MANUEL DA SILVA
10,SM,SANTA MADALENA
9,BT,CENTRO COMUNITARIO RAPOSO TAVARES
9,CL,SAO LUIZ GONZAGA
9,CL,SAO FRANCISCO
9,CS,PE. FRANCO VILLA
9,CS,ASSOC CRIA ADOL JOVEM ICARAI UNID XII CS
9,FO,SOC AMIGOS DO DISTRITO DE PERUS - SADIP
9,FO,SOC AMIGOS DO DISTRITO DE PERUS
9,IP,CAXIAS. DUQUE DE
9,JT,ASS MORADORES ZONA NORTE UNID V JT
9,PE,EMILIANO DI CAVALCANTI
9,PE,LUCIANO ROBERTO. PROF.
9,PJ,DILERMANDO DIAS DOS SANTOS
9,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS X
9,PJ,SOCIEDADE AMIGOS DE PERUS - UNID. I
9,PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS SADIP XIII
9,SM,JARDIM SAPOPEMBA
9,SM,CEC CARRAOZINHO
9,SM,SAPOPEMBA
8,BT,JARDIM PAULO VI
8,CL,SOCIEDADE SANTO MARTIRES UNID III MB
8,CS,ASSOC CRIA ADOL JOVEM ICARAI - UNI XIII
8,CS,ASSOC CRIA ADOL JOVEM ICARAI UNID VI CS
8,CS,ASSOC CRIA ADOL JOVEM ICARAI UNID X CS
8,CS,SETE DE SETEMBRO
8,G,CONSELHO COMUNITARIO DA VILA SOLANGE UNID IV G
8,G,CONSELHO COMUNITARIO DA VILA SOLANGE - UNIDADE IG
8,IP,PATRICIA GALVAO
8,IQ,RONALD DE CARVALHO
8,JT,CIDADE FERNAO DIAS
8,JT,JONISE MAXIMO DA FONSECA. PROFA.
8,JT,ASS MORADORES ZONA NORTE - NUCLEO JD SAO JOAO
8,JT,FRATERNIDADE
8,JT,ZACKI NARCHI
8,MP,ASS TRES IRMAOS
8,MP,CCA
8,PE,CES SAO FRANCISCO DE ASSIS
8,PE,OCTAVIO MANGABEIRA
8,PE,PADRE JOSE
8,PJ,SOCIEDADE DOS AMIGOS DO DISTRITO DE PERUS VI
8,PJ,RUI BLOEM
8,PJ,LEOPOLDINA. IMP.
8,SA,SEARA BENDITA
8,SM,AEC PADRE LUIZ SUTTER UNID XL SM
7,BT,PEDROSO DE MORAES
7,BT,LIGA SOLIDARIA - UNIDADE SABIA
7,CL,TEREZINHA MOTA DE FIGUEIREDO
7,CL,VALE DAS VIRTUDES
7,CL,RIO DOCE
7,CS,CENTRO COM JD AUTODROMO UNID VII - CS
7,CS,FE E ALEGRIA JARDIM SHANGRI-LA
7,CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL - UNID XIII CS
7,CS,CENTRO DE CONVIVENCIA SANTA DORITEIA
7,CS,ESPACO FORM ASSES E DOCUMENTACAO UNID XXXVI CS
7,FO,PEDRO AMERICO
7,FO,OLAVO BILAC
7,FO,7 DE SETEMBRO
7,FO,ACM NORTE
7,IP,ANITA COSTA. DA.
7,IP,DELFINO AZEVEDO
7,IQ,GILMAR TACCOLA . PROF
7,IQ,KENNEDY. PRES.
7,JT,ASS MORADORES ZONA NORTE UNID II JT
7,JT,MAXIMO DE MOURA SANTOS. PROF.
7,JT,CLEIDE MOREIRA DOS SANTOS. PROFA.
7,MP,CARLOS PASQUALE. PROF.
7,MP,RAIOS DE LUZ UNID II
7,PJ,SEMEANDO VIDAS VI
7,SA,JOAQUIM CANDIDO DE AZEVEDO MARQUES. DES.
7,SA,CHIQUINHA RODRIGUES
7,SA,NEUSA MARIA ROSSI
7,SA,ACM - SANTO AMARO
7,SA,VILA IMPERIO
7,SM,AEC PADRE LUIZ SUTTER UNID XVIII SM
7,SM,SANTO ADRIANO
6,BT,BENEDICTO CASTRUCCI. PROF.
6,CL,VALO VELHO
6,CL,OBRA DO BECO - NOSSA VIDA NOSSA ARTE
6,CL,INSTITUTO RURAL
6,CL,CARITAS - SAO LUIZ GONZAGA
6,CL,JARDIM ROSA MARIA
6,CL,PERIMETRAL
6,CL,JOAO PEDRO RODRIGUES
6,CL,PALIMERCIO DE REZENDE. CEL.
6,CL,MAE ADMIRAVEL
6,CS,IRMA AGOSTINA
6,CS,ASSOCIACAO COMUNITARIA DO JARDIM IDEAL - UNID VI CS
6,FO,TIJOLINHO
6,FO,GERALDO SESSO JUNIOR
6,FO,SANTO EXPEDITO
6,G,PARQUE CENTRAL
6,G,CONSELHO COMUNITARIO DA VILA SOLANGE UNID I G
6,IP,HELIOPOLIS - ARLETE PERSOLI. PROFA
6,IP,PAM
6,IP,UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E S JOAO CLIMACO
6,IP,JOSE MARIA LISBOA
6,IP,ZILDA ARNS
6,IP,ANTONIO FIGUEIREDO AMARAL
6,IP,INSTITUICAO BENEFICENTE NOSSO LAR
6,IQ,CARLOS CHAGAS
6,IQ,DENISE MERCIER RODRIGUES AGUIAR. PROFA.
6,IQ,FORMOSA - EDEN SILVERIO DE OLIVEIRA. PROF.
6,IQ,PROJETO JOSE DE ANCHIETA
6,JT,IASE
6,MP,VILA CURUCA - IRENE RAMALHO
6,PE,SAO NICOLAU
6,PJ,JULIO DE OLIVEIRA
6,PJ,ANTONIO ALVES VERISSIMO
6,PJ,JOSUE DE CASTRO. PROF
6,SA,VILA SANTA CATARINA
6,SA,LAUDO FERREIRA DE CAMARGO
6,SM,AEC PADRE LUIZ SUTTER UNID XXVI SM
6,SM,AEC PADRE LUIZ SUTTER - UNID XLII
6,SM,AEC PADRE LUIZ SUTTER UNID XXV SM
5,BT,MORENO. CTE.
5,BT,RONALDO PORTO MACEDO. PROF.
5,BT,ALUISIO DE ALMEIDA
5,BT,CASULO
5,CL,VILA CALU I
5,CL,CARITAS - SANTA MARIA GORETTI
5,CL,MORUMBI
5,CL,SOCIEDADE SANTO MARTIRES UNID XVII MB
5,CL,DONA DIVA
5,CL,JARDIM PARANAPANEMA
5,CL,UNIAO DE MOR JD ANTONIETA PQ STO ANTONIO UNID VI CL
5,CL,FRANCISCA JULIA DA SILVA
5,CL,PIRAJUSSARA
5,CL,CARITAS - SAO LUCAS
5,CL,SALOMAO JORGE. DEP.
5,CL,QUADRANGULAR
5,CL,JARDIM DAS ROSAS
5,CL,CARITAS - SAGRADO CORACAO DE JESUS
5,CS,SANTA RITA
5,CS,GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI. PROFA.
5,CS,ASS CRIANCAS. ADOLESCENTES E JOVENS DO ICARAI - ACAJI
5,CS,ARCO IRIS III
5,CS,ARIANO SUASSUNA
5,CS,ESPACO FORM ASSES E DOCUMENTACAO
5,CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL
5,CS,VARGEM GRANDE I
5,FO,ASSOCIACAO CANTAREIRA UNID IV FO
5,FO,ERICO VERISSIMO
5,FO,ASSOCIACAO CANTAREIRA UNID XII FO
5,FO,ASSOCIACAO CANTAREIRA UNID II FO
5,FO,ASSOCIACAO CANTAREIRA UNID XIII FO
5,FO,ASSOCIACAO CANTAREIRA UNID X FO
5,FO,DOMINGOS DELGADO
5,FO,MARCIA RICCO FERRAZ
5,FO,ELISA MARIA
5,G,PAULO CAMILHIER FLORENCANO
5,G,INACIO MONTEIRO
5,G,GIANFEDERICO PORTA. PROF.
5,IP,UNAS UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E S JOAO CLIMACO
5,IP,GERACAO DO FUTURO
5,IP,UNAS-UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO
5,IP,SANTO AGNELO
5,IP,ASSOCIACAO EVANGELICA BENEFICENTE
5,IP,PROVIM - PROGRAMA VIDA MELHOR - DOM BOSCO
5,IP,UNAS UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO
5,IQ,GUIMARAES ROSA
5,IQ,AMAS - VILA FORMOSA
5,JT,FERNANDO CAMARGO SOARES. PROF.
5,JT,JOVA RURAL I
5,JT,JOSE BONIFACIO DE ANDRADA E SILVA
5,JT,SOC AMIGOS VILA CONSTANCA SAVIC UNID I JT
5,MP,ASS COM FLORESTAN FERNANDES UNID VIII MP
5,MP,CONS COMUNITARIO DE EDUCACAO DISTRITO CURUCA E GRANDE LESTE
5,MP,ASS TRAB ITAIM PAULISTA PQ PAULISTANO
5,MP,ASS DOS MORADORES DE VILA REIS. JD PLANALTO E REGIAO
5,MP,SOCIEDADE AMIGOS DE VILA MARA UNID I MP
5,MP,ASS TRES IRMAOS UNID X MP
5,MP,GRUPO ORG EM DEFESA DA EDUC E CULTURA
5,MP,CENTRO DE EDUC DA ZONA LESTE UNID VIII MP
5,MP,ASS MAE MARA UNID IV MP
5,MP,SELMA REGINA LIMA MESSIAS. PROFA.
5,MP,PARQUE PAULISTANO
5,MP,ASSOCIACAO TRES IRMAOS -
5,MP,CONSELHO COM ED DISTRITO CURUCA E GDE LESTE UNID I IT
5,MP,ASS DOS TRAB DE ITAIM PTA E PQUE PAULISTANO UNID I MP
5,PE,PERSEVERANCA I
5,PE,CENTRO DE EDUCACAO DA ZONA LESTE UNID IV PE
5,PE,MARIELLE FRANCO
5,PE,INSTITUTO DE EDUCACAO E CULTURA ALUTHA
5,PE,ALEX MARTINS COSTA. PROF. MAESTRO
5,PE,MARIA LACERDA DE MOURA
5,PJ,JARDIM RODRIGO
5,PJ,ASSOCIACAO ALEGRIA DE VIVER UNID III
5,PJ,CAPES - CENTRO ANHAGUERA DE PROMOCAO E DUCACAO SOCIAL UNID I
5,PJ,RODOLFO TREVISAN
5,PJ,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL UNI IV
5,PJ,JOAO PAULO II. PAPA
5,PJ,CAPES CENTRO DE PROMOCAO E EDUC SOCIAL V
5,PJ,SAL DA TERRA
5,PJ,JARDIM FELICIDADE
5,PJ,ASSOCIACAO ALEGRIA DE VIVER UNID II
5,PJ,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL
5,PJ,CAPES - CENTRO ANHANGUERA DE PROMOCAO E EDUC SOC UNID II
5,PJ,VERA LUCIA APARECIDA RIBEIRO. PROFA.
5,PJ,CAPES - CENTRO ANHANGUERA DE PROM E EDUC SOC UNID III
5,PJ,JARDIM PIRITUBA
5,PJ,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL VII
5,PJ,PAULO VI
5,SA,JOCA
5,SA,CASIMIRO DE ABREU
5,SM,AEC PADRE LUIZ SUTTER UNID XX SM
5,SM,CONSTRUIR O AMANHA
5,SM,VILA BELA
5,SM,AEC PADRE LUIZ SUTTER UNID VIII SM
5,SM,AEC PADRE LUIZ SUTTER UNID V SM
5,SM,BOA ESPERANCA
4,BT,SANTA ROSA I
4,BT,EMIR MACEDO NOGUEIRA
4,BT,CENTRO EDUCATIVO FREI LUIZ AMIGO - CEFLA
4,BT,CENTRO SOCIAL SANTO DIAS UNID I BT
4,CL,CAMPO LIMPO
4,CL,PARQUE BOLOGNE
4,CL,CAMPO LIMPO - DOM AGNELO ROSSI. CARDEAL
4,CL,SAO JOAQUIM
4,CL,ANISIO TEIXEIRA
4,CL,RIVIERA
4,CL,CARITAS - SAO JOAO BATISTA - PQ LAGO
4,CL,LUCA
4,CL,JARDIM SAO LORENCO
4,CL,PARQUE DO LAGO
4,CL,NOSSA SENHORA APARECIDA I
4,CS,VIRIATO CORREIA
4,CS,ASSOCIACAO DA CRIANCA. ADOLESCENTE E JOVENS DO JD ICARAI
4,CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL UNID I CS
