total_ambients,school,parceria,ambient
1,ABC DA CRIANCA,ASSOCIACAO BENEFICENTE DAS MULHERES VOLUNTARIOSAS DE SAO PAU,BRINQUEDOTECA
1,ABELHA BELINHA,ASSOCIACAO BENEFICENTE DAS MULHERES VOLUNTARIOSAS DE SAO PAU,SALA DE AULA PROPRIA         
1,ABELHA BELINHA,ASSOCIACAO BENEFICENTE DAS MULHERES VOLUNTARIOSAS DE SAO PAU,SALA DE ED. INFANTIL PROPRIA 
1,ACOLHER II,INSTITUTO VIDA SAO PAULO,BERCARIO
1,ADEMARIO SANTANA,INSTITUTO ILUMINA TERRA ACAO PARA DESENVOLVIMENTO SOCIAL,BERCARIO
1,ADENIVO MENDES DE AQUINO,CENTRO DE TREINAMENTO DAS VIDAS - CT VIDAS,SALA DE ED. INFANTIL PROPRIA 
1,ADONIRAN BARBOSA,CRECHE MARCIA RICCO FERRAZ,SALA DE AULA PROPRIA         
1,AFAMA BABY,ASSOCIAÇÃO FILANTRÓPICA DE ASSISTENCIA AO MEIO AMBIENTE,BERCARIO
1,AGUAS DE MARCO,INSTITUTO DE PROTEÇÃO Á INFÂNCIA DE SÃO PAULO - IPISP,SALA RECURSOS MULTIFUNCIONAIS
1,ALEGRIA DE CRIANCA,ASSOCIAÇÃO COMUNITÁRIA AMIGOS DO YADOIA,BERCARIO
1,ALEGRIA DO SABER III,ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES,SALA DE ED. INFANTIL PROPRIA 
1,ALEGRIA DO SABER IV,ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES,SALA DE ED. INFANTIL PROPRIA 
1,ALEGRIA E SABEDORIA II,ASSOCIACAO BENEFICENTE AMAC,SALA DE ED. INFANTIL PROPRIA 
1,ALFAZEMAS I,CREN- CENTRO DE RECUPERAÇÃO E EDUCAÇÃO NUTRICIONAL,BERCARIO
1,ALPS,SAVIC - SOCIEDADE AMIGOS DE VILA CONSTANCA,BERCARIO
1,ALPS,SAVIC - SOCIEDADE AMIGOS DE VILA CONSTANCA,BRINQUEDOTECA
1,ALPS JARDIM ROBRU,SAVIC - SOCIEDADE AMIGOS DE VILA CONSTANCA,BERCARIO
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,FOYER / EXPOSICOES
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,GINASIO DE ESPORTES
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,QUADRA COBERTA                
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,QUADRA DESCOBERTA             
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,SALA DE DANCA / GINASTICA
1,ALVARENGA,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,SALA DE EDUCACAO FISICA       
1,AMAS AGUA FRIA,COMEB - CONSELHO DE MINISTROS EVANGELICOS DO BRASIL,BERCARIO
1,AMIZADE BRASIL E CHINA,ASSOCIACAO BENEFICENTE CAVALCANTE,BERCARIO
1,AMORA,ASSOCIAÇÃO BRUNA ROSA,BERCARIO
1,ANJO DE LUZ,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,BERCARIO
