dre,school,average_age
G,AVIB ASS DOS VOL INT DO BRASIL UNID XVIII G,78.0
SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UNID I SA,74.0
SA,ENTIDADE DE PROMOCAO E ASSISTENCIA SOCIAL ESPACO ABERTO,73.0
MP,CONS COMUNITARIO DE EDUCACAO DISTRITO CURUCA E GRANDE LESTE,71.0
CS,ASSOC CRIA ADOL JOVEM ICARAI UNID VI CS,70.0
CL,CARITAS - SAO JOAO BATISTA - VALO VELHO,70.0
SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UN GAROUPAS,69.0
SM,AEC PADRE LUIZ SUTTER UNID V SM,69.0
MP,CONS COM. DE EDUC DO DISTRITO DE CURUCA E GRANDE LESTE,68.0
IP,UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E SAO J CLIMACO,68.0
CL,CARITAS - SANTA TEREZINHA,68.0
IQ,CLUBE DE MAES RAIOS DE LUAR UNID III IQ,67.0
CS,ASSOC CRIA ADOL JOVEM ICARAI UNID XII CS,67.0
SM,AEC PADRE LUIZ SUTTER - UNID XLII,66.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID X G,66.0
CL,INSTITUTO SOCIAL SANTA LUCIA - UNID VII,66.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID II G,66.0
MP,RAIOS DE LUZ UNID VI,65.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID XI G,65.0
CL,UNIAO POPULAR DE MULHERES DE CAMPO LIMPO,65.0
FO,ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID III FO,65.0
MP,CONSELHO COM ED DISTRITO CURUCA E GDE LESTE UNID I IT,65.0
PJ,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL VII,65.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID XV G,65.0
MP,RAIOS DE LUZ UNID I,64.0
SM,ASS MORADORES NA LUTA P MORADIA DO CONJ TEOTONIO VILELA,64.0
PJ,SOCIEDADE DOS AMIGOS DO DISTRITO DE PERUS VI,64.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID VIII G,64.0
MP,ASS BENEFICENTE DAS MULHERES VOLUNTARIOSAS,64.0
MP,ASS TRAB ITAIM PAULISTA PQ PAULISTANO,64.0
CL,ASS DO ABRIGO NOSSA SRA RAINHA DA PAZ DO JD FIM DE SEMANA,64.0
CL,UNIAO DE MOR JD ANTONIETA PQ STO ANTONIO UNID IV CL,64.0
MP,ASSOCIACAO TRES IRMAOS -,64.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS SADIP XVII,64.0
PE,CENTRO DE EDUCACAO ZONA LESTE,64.0
PE,INSTITUTO DE EDUCACAO E CULTURA ALUTHA,63.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID I G,63.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS SADIP XIII,63.0
CS,ESPACO FORM ASSES E DOCUMENTACAO UNID VII CS,63.0
IQ,ASSOCIACAO DA UNIAO DAS MULHERES DALVA PAIXAO,63.0
SM,AEC PADRE LUIZ SUTTER UNID XVIII SM,63.0
CL,INSTITUTO SOCIAL SANTA LUCIA - UNID V CL,63.0
SM,AEC PADRE LUIZ SUTTER UNID XX SM,63.0
MP,ASS DOS TRAB DE ITAIM PTA E PQUE PAULISTANO UNID I MP,63.0
IQ,ASSOCIACAO CULTURAL NOSSA SENHORA DAS GRACAS,63.0
MP,RAIOS DE LUZ UNID IV,63.0
G,CONSELHO COMUNITARIO DA VILA SOLANGE - UNIDADE IG,63.0
FO,SOC AMIGOS DO DISTRITO DE PERUS,63.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID XII G,62.0
CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL UNID I CS,62.0
MP,SOCIEDADE AMIGOS DE VILA MARA UNID I MP,62.0
SA,OBRAS SOCIAIS SAO FRANCISCO XAVIER - MOVA,62.0
SM,AEC PADRE LUIZ SUTTER UNID XXXVI SM,62.0
FO,ASS BENEFICENTE UNIDOS DO JARDIM GUARANI UNID I FO,62.0
CL,UNIAO DE MOR JD ANTONIETA PQ STO ANTONIO UNID VI CL,62.0
SA,ASSOCIACAO CONQUISTANDO UM ESPACO II,62.0
MP,RAIOS DE LUZ UNID II,62.0
MP,ASS MAE MARA UNID IV MP,62.0
G,AVIB - ASSOC. VOLUNTARIOS INTEGRADOS DO BRASIL,62.0
